country_code,year0,migLower,migMedian,migUpper,popLower,popMedian,popUpper
124,2030,9382.81039465555,978120.199706101,2036262.41712244,38610218.4308188,40330605.768315,42172281.1247143
124,2035,-207721.227659669,947104.663147125,2168868.03840611,38358293.3951982,41329753.0059538,44456315.8307797
124,2040,-365950.348593104,913986.263789408,2209730.09487737,37884184.6605524,41975080.2011411,46532639.4878535
124,2045,-348397.876357667,892432.416592972,2357940.28592163,36840072.3804162,42542154.6183553,48586381.1506036
136,2020,2000,2000,2000,65720,65720,65720
136,2025,-9081.32673280791,1752.43053596067,13183.4367258481,58518.8430707622,69165.7140901986,80808.924177249
136,2030,-9943.36708469156,1329.01881584174,17423.8296013054,52215.4114385772,72091.0252536008,98216.7252352279
136,2035,-9890.55920390997,1445.30214759937,24591.7373514652,46961.6141014129,75633.0851128284,121241.781428271
136,2040,-9180.18702636713,1355.64685526171,27712.4059675538,42999.8553111973,76804.5939310322,152634.960840183
136,2045,-9926.29513296403,1615.59464113714,36911.5789824941,38015.0875113388,78982.6307422918,191814.681753977
140,2020,-2e+05,-2e+05,-2e+05,4829764,4829764,4829764
140,2025,-370119.058235759,-119213.742769072,115928.068945022,5040356.82900905,5297324.02835493,5559986.48018968
140,2030,-397654.915880991,-84514.9473615605,221600.671152066,5236190.15702599,5849180.25975159,6392574.88949556
140,2035,-422259.753010065,-71036.9994285009,281521.629181181,5425995.521879,6414535.86609348,7310809.05644957
140,2040,-428285.900660534,-82822.3501236307,297119.152413309,5555538.56167157,6940018.35651715,8302960.41186868
140,2045,-455660.341118973,-78717.1296156945,354551.438850257,5618530.32335885,7446343.4047753,9195469.775536
148,2020,10000,10000,10000,16425859,16425859,16425859
148,2025,-416992.360166845,-10242.7398132424,373030.106639756,18451673.4135768,18930551.2918721,19401632.0642721
148,2030,-619157.761691043,-40961.1131101602,505644.237261236,20459067.0341012,21616403.429898,22735044.7622102
148,2035,-758119.370105567,-49259.1444813334,682985.964207749,22536858.907235,24451603.2196044,26394239.5052867
148,2040,-931325.737219549,-84017.7159015177,710391.380257229,24565890.1512874,27308338.8945773,30446790.5470163
148,2045,-999647.344632794,-117437.510595557,920828.98206831,26161832.5006685,30240745.8529761,34828289.792466
830,2020,6754,6754,6754,173859,173859,173859
830,2025,174.202741760141,4628.55660134983,9760.25484120223,175297.117566228,179872.146608365,185074.783596707
830,2030,-1533.46236511866,4506.0447814988,11017.9080687867,175661.967488848,185139.13862895,195605.351922916
830,2035,-1817.30594024847,4252.37590612173,10941.9185394113,174984.530405476,189697.738610786,206695.160245905
830,2040,-2669.50346145341,3973.05118269144,11871.9994224308,171866.145691528,193552.499253584,217883.786689728
830,2045,-2876.14750330248,3834.80393556165,11797.5374238849,169216.358233841,196478.993722606,227527.874001885
152,2020,558539,558539,558539,19116209,19116209,19116209
152,2025,237336.248050744,522566.072044346,823911.292022376,19768523.7009828,20123805.709866,20501846.62501
152,2030,97461.2118517163,501978.378657665,920988.703223928,20237753.1743696,21054426.7372334,21895084.2131035
152,2035,12736.4409523329,475079.491564785,1028666.47319453,20491222.7125092,21848973.8701975,23254304.6330292
152,2040,-58487.92022166,463110.623317685,1147299.63475894,20587472.1827689,22498739.8009873,24555486.6694141
152,2045,-106407.740065788,426504.603917043,1217869.04687093,20461152.0813204,23051353.9464596,26054579.4921706
156,2020,-1741996,-1741996,-1741996,1439323774,1439323774,1439323774
156,2025,-9172373.78598456,-1726111.88124842,5771701.81394416,1447112411.41739,1459636739.82717,1472184049.55087
156,2030,-11522264.2566777,-1613027.66755559,8518781.17945143,1442260791.22475,1468834484.07177,1496969875.88233
156,2035,-12463570.6691988,-1621874.82758234,8903769.01037034,1423008181.28446,1466064327.36735,1510953742.46335
156,2040,-13494332.3399174,-1563847.81800367,10369796.4037743,1395185957.9837,1453923547.70581,1516848563.96605
156,2045,-14136798.2473312,-1622238.77219717,11974384.8592924,1354911572.62511,1433634129.64296,1514444311.34382
344,2020,146542,146542,146542,7496988,7496988,7496988
