country_code,year,q05in,q10in,q50in,q90in,q95in,q05out,q10out,q50out,q90out,q95out,q05net,q10net,q50net,q90net,q95net
204,2038,195985.85,225273.5,405309.5,814834.3,970559.15,103031.4,135473.6,377705,924533.3,1158568.45,-769297.8,-510694.6,45311,449750.3,604348.4
208,2038,242696.15,259847.8,326660,417405.4,449599.2,67166.15,88630.8,181599,343854.5,413068.3,-90065.1,-25806.5,149997,271399.8,306150.95
214,2038,199884.7,226755.5,367893,615112,701127.05,221542.5,279972.4,490183.5,829957.4,950254,-598195.15,-451422.3,-113319,192032.5,291090.65
218,2038,181374.85,209458.3,345493.5,647969.5,772037.1,135446.05,173006.8,467879.5,1116450.3,1445408.4,-1136791.65,-746977.3,-115778,279982.6,419455.5
222,2038,65808.65,79055,149403.5,338520.2,425108.6,190841.2,228538.5,341431.5,509763.6,577136.649999999,-437311.8,-355561.6,-181905,13246.3,110274.15
226,2038,62040.25,75393.1,135882,234484.5,276129.95,9315.85,11912.3,22098.5,42380.3,53175.5,33885.9,47303.7,111810.5,212573.4,248752.45
231,2038,503401.7,602287.4,1183741.5,2106643.9,2434207.8,105853.1,157343,476127,1657884.7,2495730.05,-1316201.1,-572110.1,622423,1621860.5,1984901.85
232,2038,48988.15,56876.6,126109,395588.6,515910.25,45968,68300.8,233825,507424.6,590062.05,-444798.4,-375290.1,-71075,203188.2,340362.6
233,2038,40771.95,44198.2,63793,95400,110913.4,9983.75,15017,41460,98540.4,119978.8,-58198.95,-36962.4,22807.5,62749.3,79191.65
242,2038,18431.6,20825.7,31272.5,45973.5,54209.15,16055.75,22806.3,55022,108574.9,126131.15,-94014.75,-77653.1,-23150,13322,22067.05
246,2038,137119.35,147624.5,206714,302336.6,353435.3,32990.35,42845.4,95864.5,223714.9,281276.25,-70717.25,-12859.5,108086.5,214078,257170.75
250,2038,2621346.2,2790637.1,3423457,4373083.7,4672557.7,1146091.8,1383935.9,1942494.5,2803698.3,3437395.3,-108441.9,474010.1,1481766,2584828.5,2917486.35
254,2038,18665.15,20550.5,29895,47054.7,53029.8,8105.8,10170.4,21417,43132.5,51273,-23081.05,-13049.4,8638,28459.6,35809.75
258,2038,2965.85,3454.6,5877,10014,12548.5,1885.95,2550.6,7984.5,24886.8,30917.8,-23802.9,-17700.5,-1922,4292.2,6440.8
262,2038,11913.7,15047,39647,105274.6,136832.85,4588.75,6528.7,23156.5,74501.7,98340.55,-57910,-34889.9,13624.5,78117.6,113120.5
266,2038,161851.45,179702,284322,462567.3,548630,71591.05,88702.8,166259,288859.6,334070.05,-84565.75,-34558.3,115970,313759.1,377579.6
268,2038,52561.6,59730,94187.5,165282.7,195061.5,28221.55,41730.3,119377,281487,348593.2,-259213.3,-182259,-20824,75204.4,103240.5
270,2038,34124.95,39943.5,76382,176727.2,227086.4,48578.8,61650.6,123400,237753.3,298451.6,-209279.15,-157396.2,-43680,62834,105608.65
275,2038,346458.8,387647,607476.5,1005193.4,1150683.1,166293.5,216529.2,506540,932910.6,1006879.25,-436275.9,-320320.6,120058,553863.1,705793.1
276,2038,3966585.45,4184323.1,5229110,6791322.4,7349250.15,836092.45,1073987.3,2991122.5,6881323.7,8101924.9,-2805670.95,-1446579.2,2222553.5,4700325.5,5330665.15
288,2038,237117.3,279116.7,447501,778257.7,953172.75,118718.45,164311.3,483232,1538578.4,2113098.65,-1622818.8,-1057521.6,-31326,407809,603665.55
296,2038,234,272,478.5,864.1,1105.2,636.95,991,4714,15338,17777.25,-17203.8,-14595,-4231.5,-461.8,-131.8
300,2038,394987.85,422503.9,586466,841636.9,980132.4,120987.75,182072.5,451967,880134.6,1019339.35,-451932.95,-310132.6,142717,494873.9,608101.45
