country_code,year,q05f,q10f,q50f,q90f,q95f,q05m,q10m,q50m,q90m,q95m,q05t,q10t,q50t,q90t,q95t
68,2023,6097246.25876094,6121247.25697105,6191062.6325072,6265706.83982617,6284837.89733118,6122787.07906957,6145964.83842702,6217881.91330067,6295486.23206647,6315209.81730336,12219128.0580768,12264734.4409523,12408320.9800414,12560275.8815211,12600040.9109665
70,2023,1513037.07768247,1531823.56663936,1609774.9024136,1660660.79960163,1675920.24936358,1441625.77465212,1461949.14000372,1541261.29204435,1595252.0048602,1609067.23004752,2955247.64652574,2993110.94237401,3151693.76493936,3256502.96446722,3285087.31278919
72,2023,1283730.00211275,1292594.06210883,1318925.28690896,1346510.55139779,1356969.62962674,1209267.39066341,1218345.3954397,1244374.10675145,1271176.07252197,1280288.52135809,2492610.91661135,2511234.11684161,2563258.0993077,2617786.85455477,2636653.77245025
76,2023,110355320.544559,110596609.929575,111418447.199339,112279924.19993,112539133.12992,106159835.949177,106444902.842708,107248367.36631,108191603.475907,108466388.862065,216520296.965609,217016728.087876,218660579.11087,220473875.245975,220962050.156118
84,2023,207116.338171271,209810.284419527,217952.818069974,225888.754943692,230335.485064993,203802.962683836,206549.972226663,214580.605305925,222605.248262156,227099.534357235,410923.292704066,416260.656002408,432607.118957186,448427.546971264,457573.817411257
90,2023,372754.176799861,374208.354688066,379400.601706494,383885.587454608,385012.661116957,385281.925831387,386744.49889182,392235.294779903,396916.763700342,398016.607434056,758071.251143084,761188.782533558,771712.372201432,780717.029050577,782892.603377284
96,2023,215762.98280279,218210.992257671,225860.798588569,238065.810327809,242729.860155967,230944.677322847,233469.922146404,241733.536057245,254734.080878822,259220.593210638,446840.519500483,451612.476957798,467618.739556436,492632.027122565,502038.157479664
100,2023,3291594.17975889,3320455.49665665,3415314.51468375,3487550.2834849,3514485.72481304,3092928.56629001,3123362.07565928,3220302.60629447,3295548.76801468,3322051.54445891,6384740.89084772,6442443.21149744,6636006.46990038,6782501.59131512,6833819.77721148
104,2023,28123815.0508104,28327844.3711887,28838250.4435725,29249341.4000856,29375189.7700624,26127485.7934271,26320101.4487206,26836231.263748,27278012.1655465,27385005.2127532,54266656.8742343,54640568.8755927,55677664.2458823,56514290.633081,56754822.748978
108,2023,6745067.23360349,6780830.15630962,6902513.51941315,7004105.73946864,7045484.98935684,6649763.31105659,6691423.42908974,6816839.70587062,6919824.51197172,6960613.97228256,13392125.0348488,13472018.6558113,13717907.1881017,13922927.8002683,14005530.6892695
